folder_path,black pixel AFTER,white pixel AFTER ,Percent black pixel AFTER,total pixel AFTER,black pixel BEFORE,white pixel BEFORE ,Percent black pixel BEFORE,total pixel BEFORE,relative_change [(after-before)/before]
M23,1440,998560,0.14400000000000002,1000000,2989,997011,0.2989,1000000,-51.82335229173637
B36,45693,954307,4.5693,1000000,11015,988985,1.1015000000000001,1000000,314.82523831139355
M26,3991,996009,0.39909999999999995,1000000,695,999305,0.06949999999999999,1000000,474.24460431654677
M28,1562,998438,0.1562,1000000,20958,979042,2.0958,1000000,-92.5469987594236
B37,9593,990407,0.9593,1000000,2971,997029,0.29710000000000003,1000000,222.88791652642206
M19,694457,305543,69.4457,1000000,895,999105,0.0895,1000000,77492.96089385475
B33,25682,974318,2.5682,1000000,5528,994472,0.5528,1000000,364.58031837916064
B22,9345,990655,0.9344999999999999,1000000,4399,995601,0.4399,1000000,112.43464423732668
M33,6891,993109,0.6891,1000000,7698,992302,0.7698,1000000,-10.483242400623539
M36,2996,997004,0.2996,1000000,1134,998866,0.1134,1000000,164.19753086419752
M25,13763,986237,1.3762999999999999,1000000,4155,995845,0.4155,1000000,231.23947051744884
B28,19488,980512,1.9487999999999999,1000000,8188,991812,0.8188000000000001,1000000,138.00683927699072
M29,377,999623,0.0377,1000000,511,999489,0.05109999999999999,1000000,-26.22309197651663
B29,32529,967471,3.2529000000000003,1000000,20510,979490,2.051,1000000,58.600682593856654
B26,18462,981538,1.8461999999999998,1000000,1201,998799,0.1201,1000000,1437.2189841798502
M22,1554,998446,0.1554,1000000,4155,995845,0.4155,1000000,-62.59927797833935
M34,8096,991904,0.8096000000000001,1000000,4426,995574,0.44260000000000005,1000000,82.91911432444645
B23,52795,947205,5.2795000000000005,1000000,14070,985930,1.407,1000000,275.23098791755507
M37,8369,991631,0.8369,1000000,6168,993832,0.6168,1000000,35.684176394293125
B19,5572,994428,0.5571999999999999,1000000,5180,994820,0.518,1000000,7.567567567567568
B25,110786,889214,11.0786,1000000,72554,927446,7.255399999999999,1000000,52.69454475287372
B34,7472,992528,0.7472000000000001,1000000,3319,996681,0.3319,1000000,125.12805061765593
